feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16866530655630138
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4151761392155111
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.20758806960775555
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.3622967068008958
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8563007871319916
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5838414457718124
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.2974254350484722
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9990175849873235
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.349322452450411
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0648712717524236
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5059959196689041
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2974254350484722
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.11676828915436249
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.038922763051454166
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.258502671997018
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2455284176465333
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7654810066785985
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2066056545950792
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.349322452450411
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.1946138152572708
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.5439362677076818
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09081978045339305
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.557892937070843
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0898373654407165
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.1417343828426554
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.6347560481610748
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5698847764086512
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.063888856739747
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.45409890226696525
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.1936314002445945
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7395324979776291
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.15569105220581667
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7135839892766597
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.6746612262252055
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3622967068008958
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7784552610290832
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5059959196689041
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6746612262252055
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7395324979776291
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.40220188486502634
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0379403480387777
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.609789954472782
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8952235501834458
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.700609734926175
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.2325541632960486
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2465108326592097
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5968157001222972
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5449186827203583
